DDB_ID,Mention_ID,Grain_Index,Candidate_Rank,Is_Primary,Block_Tag,Title,Place,Date_Text,Date_When,Date_NotBefore,Date_NotAfter,Grain_Form,Qty_Value,Qty_Unit,Price_Value,Price_Cur,Score,Dist_GP,Dist_GQ,Span_Toks,Lines_Crossed,Priceword_Near,Pos_Signal_Near,Ambiguous,AltScore,Alt_Qty,Alt_Price,Context_Window,Context_Type,Signal_Type,Signal_Strength,Neg_Signals,Rejection_Reason
p.bad;2;25,1,1,1,yes,ab,Kauf von Gerste und Gemüsesamen mit Vorausbezahlung des Kaufpreises (Pränumerationskaufvertrag),Ptolemais Euergetis (Arsinoites),III,,0201,0300,κριθησ,,,160,δραχμαι,33.0,11,-1,11,0,no,yes,no,,,,"ἑ κα
τ ὸ ν ἑξήκοντα γίνονται δραχμαὶ 160 δίκαι αι .
λο ι πὰς τιμῆς τειμῆς κριθῆς ἀ ρ τά β ας ἀτά β ας",PRICE,priceword_ext,0.6,,
p.berl.frisk;;1,1,1,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,κριθησ,10.625,αρταβασ,46,δραχμασ,33.18,20,1,20,0,no,yes,no,,,,"νι γενο μένης γενή ματος 13 ἔτους
κριθῆς ἀρτάβας 10 1/2 1/8 , τιμῆς ὡς τῆς ἀρτάβης ἑκάστης 4 2 , τὰς συναγο μένας
ἀργ υρίου δραχμὰς 46 . ἐσμὲν δέ· κας Σαμβᾶ ἀρτάβης 1/2",PRICE,priceword_ext,0.6,TRANSPORT,
p.berl.frisk;;1,6,3,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,2.083333,αρταβασ,25,δραχμασ,27.63,66,1,66,0,no,yes,no,,,,"εἰς τοὺς
ὅρμους γενή ματος 17 ἔτους πυροῦ ἀρτάβας 2 1/12 , κριθ ῆς
, τιμῆς τοῦ μὲν πυροῦ ὡς τῆς ἀρτάβης
ἑκά στης 8 , τὰς συν αγομ ένας ἀργυ ρίου δραχμ ὰς
16 4 , τῆς δὲ κριθῆς ὡς τῶν
100 ἀρταβῶν δραχμῶν , τὰς σ υ ναγομ ένας ἀ ρ γυρ ί ου
δραχμ ὰς 8 2 , τὰς ἐπὶ τὸ α ὐτὸ ἀργ υρίου δραχμὰς 25 .
ἔτους 18 Αὐτοκράτορος Καίσαρος Τίτου",PRICE,priceword_ext,0.6,,
p.berl.frisk;;1,6,4,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,κριθ,2.083333,αρταβασ,25,δραχμασ,26.37,61,4,65,0,no,yes,no,,,,"τοὺς
ὅρμους γενή ματος 17 ἔτους πυροῦ ἀρτάβας 2 1/12 , κριθ ῆς
, τιμῆς τοῦ μὲν πυροῦ ὡς τῆς ἀρτάβης
ἑκά στης 8 , τὰς συν αγομ ένας ἀργυ ρίου δραχμ ὰς
16 4 , τῆς δὲ κριθῆς ὡς τῶν
100 ἀρταβῶν δραχμῶν , τὰς σ υ ναγομ ένας ἀ ρ γυρ ί ου
δραχμ ὰς 8 2 , τὰς ἐπὶ τὸ α ὐτὸ ἀργ υρίου δραχμὰς 25 .
ἔτους 18 Αὐτοκράτορος Καίσαρος Τίτου",PRICE,priceword_ext,0.6,,
p.berl.frisk;;1,9,3,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,4,αρταβασ,32,δραχμασ,31.01,4,1,4,0,no,no,no,,,,"52 , οὐλ ὴ
ἀριστ ερ , πυροῦ ἀρτάβας 4 , δραχμὰς 32 .
Ταλλη ·
Ψε ν",OTHER,,0.0,,
p.berl.frisk;;1,9,4,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,1,αρταβην,8,δραχμασ,29.46,4,1,4,0,no,no,no,,,,"ἐτῶν 35 , οὐ λὴ πήχει πήχι δεξιῷ, πυροῦ ἀρτάβην 1 , δραχμὰς 8 .
γίνονται αἱ π ροκείμεναι πυροῦ",OTHER,,0.0,,
p.berl.frisk;;1,9,5,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,5,αρταβαι,40,δραχμαι,29.46,4,1,4,0,no,no,no,,,,"δραχμὰς 8 .
γίνονται αἱ π ροκείμεναι πυροῦ ἀρτάβαι 5 , δραχμαὶ 40 .
ἔτους 18 Αὐτοκράτορος Καίσαρος",OTHER,,0.0,,
p.berl.frisk;;1,11,12,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,10.5,αρταβασ,0.5,δραχμασ,31.23,3,1,3,0,no,no,no,,,,"60 , οὐ λὴ χειρὶ χ ιρὶ δεξιᾷ, πυροῦ ἀρτάβας 10 1/2 , δραχμὰς 8 .
Πάτρ ων Δ",OTHER,,0.0,,
p.berl.frisk;;1,11,13,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,7.083333,αρταβασ,0.083333,δραχμασ,31.23,3,1,3,0,no,no,no,,,,"χειρὸ χ ι ρὸ ς ἀριστ ερᾶς , πυροῦ ἀρτάβας 7 1/12 , δραχμὰς 56 4 .
Πασίων Ἰσ",OTHER,,0.0,,
p.berl.frisk;;1,14,3,1,yes,ab,Bankakten aus dem Faijûm,Ptolemais Euergetis (Arsinoites),7. Febr. 155,0155-02-07,,,πυρου,2.75,αρταβασ,2,οβολουσ,27.71,6,1,7,0,no,no,no,,,,"σερ άκ οντα μί αν 341 δύο 2 ὀβολούς. εἰσὶ ἐστὶ δέ·
πυροῦ ἀρτάβας 2 1/2 1/4 . Ἀρτεμᾶς Διοσκόρου
πυροῦ",OTHER,,0.0,,
